User Name,Feels,Text,Selected Font,Liked,Disliked,Saved
Paulina,"['progressive', 'simple']",vjkenvlkg,Cagliostro-Regular,False,True,False
Paulina,"['progressive', 'simple']",vjkenvlkg,Magra-Bold,False,True,False
Paulina,"['progressive', 'simple']",vjkenvlkg,Lekton-Italic,True,False,False
Paulina,"['progressive', 'simple']",vjkenvlkg,Capriola-Regular,False,False,True
Paulina,"['progressive', 'open', 'contemporary', 'modern']",Testing iteration 1,Capriola-Regular,False,True,False
Paulina,"['progressive', 'open', 'contemporary', 'modern']",Testing iteration 1,ChakraPetch-BoldItalic,True,False,False
Paulina,"['progressive', 'open', 'contemporary', 'modern']",Testing iteration 1,Athiti-Bold,True,False,False
Paulina,"['progressive', 'open', 'contemporary', 'modern']",Testing iteration 1,Pattaya-Regular,False,False,True
Paulina,"['progressive', 'open', 'contemporary', 'modern']",Testing iteration 1,Pattaya-Regular,False,True,False
Lili,['progressive'],Reunion,Roboto-Medium,True,False,False
Lili,['progressive'],Reunion,CommissionerFLARVOLMslnt,False,True,False
Lili,['progressive'],Reunion,ZenMaruGothic-Bold,False,True,False
Lili,['progressive'],Reunion,Teko-Bold,True,False,False
Lili,['progressive'],Reunion,Sarpanch-SemiBold,True,False,False
Lili,['progressive'],Reunion,PatrickHandSC-Regular,True,False,False
Lili,['progressive'],Reunion,Vazirmatn,True,False,False
Lili,['progressive'],Reunion,Spinnaker-Regular,False,False,True
Lili,['progressive'],Reunion,Spinnaker-Regular,False,True,False
Lili,['progressive'],aReunion,Heebo,False,False,True
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",paulina ,Heebo,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",paulina ,RalewayDots-Regular,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",paulina ,Kanit-ExtraLight,True,False,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",paulina ,Mitr-Regular,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,HindVadodara-Light,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Andika-Bold,True,False,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,NotoSansNushu-Regular,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Mulish-Italic,True,False,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Oswald,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Livvic-Black,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Harmattan-Regular,False,True,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Sora,True,False,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,KiteOne-Regular,True,False,False
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Orienta-Regular,False,False,True
Paulina,"['simple', 'minimal', 'contemporary', 'bold']",Test,Orienta-Regular,False,True,False
Paulina,"['modern', 'bold', 'creative', 'eye-catching']",Testing 1 hidsiovhsdopihv],BebasNeue-Regular,False,True,False
Paulina,"['modern', 'bold', 'creative', 'eye-catching']",Testing 1 hidsiovhsdopihv],LobsterTwo-Bold,False,True,False
Paulina,"['modern', 'bold', 'creative', 'eye-catching']",Testing 1 hidsiovhsdopihv],Comfortaa,True,False,False
Paulina,"['modern', 'bold', 'creative', 'eye-catching']",Testing 1 hidsiovhsdopihv],LilitaOne-Regular,False,False,True
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",ReemKufiFun,True,False,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",ReemKufiInk-Regular,True,False,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",BubblerOne-Regular,True,False,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",B612Mono-Bold,False,True,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",Laila-Medium,False,True,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",Gafata-Regular,True,False,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",RumRaisin-Regular,True,False,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",NTR-Regular,False,True,False
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",Cantarell-Bold,False,False,True
Wessel,"['modern', 'minimal', 'simple', 'reliable']","Task management, to-do board, duration",Cantarell-Bold,True,False,False
